Particpant Number: 8, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 2
Particpant Number: 8, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 1
Particpant Number: 8, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 1
Particpant Number: 8, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 8, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 4
Particpant Number: 8, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 2
Particpant Number: 8, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 1
Particpant Number: 8, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 1
Particpant Number: 9, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 3
Particpant Number: 9, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 2
Particpant Number: 9, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 1
Particpant Number: 9, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 9, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 5
Particpant Number: 9, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 3
Particpant Number: 9, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 2
Particpant Number: 9, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 1
Particpant Number: 10, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 3
Particpant Number: 10, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 2
Particpant Number: 10, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 1
Particpant Number: 10, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 10, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 5
Particpant Number: 10, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 3
Particpant Number: 10, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 2
Particpant Number: 10, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 1
Particpant Number: 11, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 3
Particpant Number: 11, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 2
Particpant Number: 11, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 1
Particpant Number: 11, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 11, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 6
Particpant Number: 11, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 3
Particpant Number: 11, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 2
Particpant Number: 11, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 1
Particpant Number: 12, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 3
Particpant Number: 12, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 2
Particpant Number: 12, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 1
Particpant Number: 12, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 12, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 6
Particpant Number: 12, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 3
Particpant Number: 12, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 2
Particpant Number: 12, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 1
Particpant Number: 13, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 4
Particpant Number: 13, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 2
Particpant Number: 13, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 1
Particpant Number: 13, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 13, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 7
Particpant Number: 13, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 4
Particpant Number: 13, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 2
Particpant Number: 13, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 1
Particpant Number: 14, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 4
Particpant Number: 14, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 2
Particpant Number: 14, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 1
Particpant Number: 14, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 14, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 7
Particpant Number: 14, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 4
Particpant Number: 14, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 2
Particpant Number: 14, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 1
Particpant Number: 15, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 4
Particpant Number: 15, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 2
Particpant Number: 15, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 1
Particpant Number: 15, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 15, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 8
Particpant Number: 15, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 4
Particpant Number: 15, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 2
Particpant Number: 15, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 1
Particpant Number: 16, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 4
Particpant Number: 16, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 2
Particpant Number: 16, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 1
Particpant Number: 16, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 16, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 8
Particpant Number: 16, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 4
Particpant Number: 16, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 2
Particpant Number: 16, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 1
Particpant Number: 17, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 5
Particpant Number: 17, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 3
Particpant Number: 17, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 17, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 17, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 9
Particpant Number: 17, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 5
Particpant Number: 17, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 3
Particpant Number: 17, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 18, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 5
Particpant Number: 18, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 3
Particpant Number: 18, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 18, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 18, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 9
Particpant Number: 18, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 5
Particpant Number: 18, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 3
Particpant Number: 18, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 19, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 5
Particpant Number: 19, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 3
Particpant Number: 19, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 19, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 19, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 10
Particpant Number: 19, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 5
Particpant Number: 19, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 3
Particpant Number: 19, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 20, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 5
Particpant Number: 20, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 3
Particpant Number: 20, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 20, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 20, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 10
Particpant Number: 20, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 5
Particpant Number: 20, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 3
Particpant Number: 20, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 21, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 6
Particpant Number: 21, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 3
Particpant Number: 21, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 21, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 21, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 11
Particpant Number: 21, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 6
Particpant Number: 21, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 3
Particpant Number: 21, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 22, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 6
Particpant Number: 22, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 3
Particpant Number: 22, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 22, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 22, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 11
Particpant Number: 22, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 6
Particpant Number: 22, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 3
Particpant Number: 22, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 23, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 6
Particpant Number: 23, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 3
Particpant Number: 23, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 23, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 23, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 12
Particpant Number: 23, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 6
Particpant Number: 23, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 3
Particpant Number: 23, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 24, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 6
Particpant Number: 24, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 3
Particpant Number: 24, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 24, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 24, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 12
Particpant Number: 24, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 6
Particpant Number: 24, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 3
Particpant Number: 24, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 25, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 7
Particpant Number: 25, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 4
Particpant Number: 25, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 25, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 25, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 13
Particpant Number: 25, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 7
Particpant Number: 25, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 4
Particpant Number: 25, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 26, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 7
Particpant Number: 26, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 4
Particpant Number: 26, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 26, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 26, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 13
Particpant Number: 26, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 7
Particpant Number: 26, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 4
Particpant Number: 26, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 27, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 7
Particpant Number: 27, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 4
Particpant Number: 27, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 27, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 27, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 14
Particpant Number: 27, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 7
Particpant Number: 27, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 4
Particpant Number: 27, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 28, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 7
Particpant Number: 28, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 4
Particpant Number: 28, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 2
Particpant Number: 28, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 1
Particpant Number: 28, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 14
Particpant Number: 28, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 7
Particpant Number: 28, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 4
Particpant Number: 28, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 2
Particpant Number: 29, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 8
